,group,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Chuquicamata Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Chuquicamata Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Chuquicamata Complex,15.37418208,28.2743547,2.999197991,10.92727161,1.726552368,0.507830412,1.270732827,0.158082852,1.001410462,0.190878301,0.556257726,NA,0.645454571,0.096026389
5,Chuquicamata Complex,18.54748204,33.53495809,3.528900625,12.51444214,2.051327216,0.507742255,1.40447814,0.184952518,1.11512994,0.197825341,0.591191628,NA,0.684178323,0.10520803
6,Chuquicamata Complex,35.37185442,65.17879989,6.604906884,22.93102238,3.236458699,0.784294342,1.873715649,0.206893178,0.974623833,0.141271555,0.365596514,NA,0.377177243,0.063032221
7,Chuquicamata Complex,20.49342221,35.42387583,3.579367344,12.48448511,1.892733697,0.450477672,1.161882604,0.142265459,0.772373436,0.133743732,0.37128688,NA,0.459452053,0.072872258
8,Chuquicamata Complex,30.34550458,62.00642501,7.080516379,26.61759703,4.11351323,0.836110435,2.325661877,0.243399854,1.197673972,0.201492927,0.535288541,NA,0.61513349,0.093587479
9,Chuquicamata Complex,18.79469703,33.60442616,3.529715629,12.75162099,2.0397408,0.500055399,1.223635981,0.140188759,0.782026275,0.142116459,0.388494739,NA,0.469009519,0.082357381
10,Chuquicamata Complex,15.95442827,30.58435259,3.301455544,12.26513926,2.099014914,0.521492941,1.354084712,0.172225567,1.090011473,0.187631295,0.563499895,NA,0.646459271,0.103039854
11,Chuquicamata Complex,15.996545,31.17911891,3.477804998,12.70547102,2.228826901,0.544653016,1.528238421,0.200464448,1.100419653,0.198601198,0.531631633,NA,0.626612505,0.099443444
12,Chuquicamata Complex,16.1305258,30.80784983,3.25382142,12.00673179,1.951760057,0.496078135,1.274365162,0.164410469,0.957626354,0.189535148,0.519767534,NA,0.595925809,0.102298203
13,Chuquicamata Complex,19.39531967,34.8953414,3.536423752,12.15329076,1.912405455,0.519257501,1.146478439,0.133193379,0.672840042,0.121854495,0.35191937,NA,0.473337105,0.074394064
14,Chuquicamata Complex,15.38485727,28.3350564,3.062982143,10.99849939,1.79293864,0.461944924,1.199647509,0.145827991,0.776471422,0.147971232,0.462166495,NA,0.549944112,0.084384498
15,Chuquicamata Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Chuquicamata Complex,24.43610409,42.00887754,4.07575369,13.68263094,2.066601398,0.547514812,1.446709899,0.185670201,1.034735373,0.188901441,0.520482038,NA,0.558213029,0.091588362
17,Chuquicamata Complex,17.77306793,33.34557989,3.542922821,12.56424694,2.083825852,0.560650896,1.409125478,0.184804286,1.018889985,0.190485406,0.539543058,NA,0.641303491,0.099824656
18,Chuquicamata Complex,12.78483056,24.39229983,2.615223058,9.500566969,1.577078818,0.409690664,1.08284117,0.134067975,0.790843686,0.155878437,0.451617838,NA,0.495021871,0.080001398
19,Chuquicamata Complex,17.93449365,35.11544756,3.852789235,14.09366948,2.354656837,0.628675573,1.580105797,0.193760604,1.076521746,0.193750418,0.559069961,NA,0.683161418,0.104972896
20,Chuquicamata Complex,20.15223895,39.81447936,4.399260079,16.05350195,2.15499058,0.508085354,1.22474759,0.150539821,1.008948558,0.202522274,0.590998762,NA,0.740896113,0.113383912
21,Chuquicamata Complex,20.14931537,38.04132943,4.104022686,14.54613039,2.277668076,0.491175053,1.205335723,0.119807316,0.538850088,0.095089597,0.264571377,NA,0.337939018,0.053952163
22,Chuquicamata Complex,15.34036664,29.2137624,3.323009561,12.32628286,2.014541116,0.50822238,1.166279664,0.126271084,0.57208675,0.11678183,0.312023548,NA,0.409821529,0.066830258
23,Chuquicamata Complex,11.78065609,20.96915906,2.246134092,7.81630302,1.163217876,0.39980394,0.846511016,0.105684476,0.706897222,0.118077448,0.362145811,NA,0.42072602,0.068650387
24,Chuquicamata Complex,11.50674888,20.50562245,2.17772257,7.980255846,1.311524916,0.485583535,0.963028049,0.110072252,0.461871662,0.066494935,0.210704082,NA,0.307856495,0.055875235
25,Chuquicamata Complex,17.96607104,30.57971463,3.122715662,11.48160547,1.827380331,0.475428778,1.295180596,0.149667278,0.852071306,0.162915605,0.475678673,NA,0.482888145,0.073391005
26,Chuquicamata Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Chuquicamata Complex,8.984375646,16.44729341,1.777632435,6.380704474,1.0509301,0.376646408,0.811191507,0.106728443,0.697450898,0.132384544,0.356003176,NA,0.425100155,0.067459364
28,Chuquicamata Complex,12.15296392,22.94171799,2.48062045,9.083970459,1.385579735,0.384574033,0.950675829,0.12291833,0.758291285,0.13962267,0.422609915,NA,0.483262114,0.07420731
29,Chuquicamata Complex,12.52305064,23.77306123,2.629695122,9.582939261,1.563688166,0.422649504,1.094763282,0.140048973,0.799275986,0.147918052,0.422898673,NA,0.479401616,0.076258941
30,Chuquicamata Complex,14.35102984,29.9225422,3.299751527,12.34337955,2.038430169,0.548722632,1.594659445,0.19144851,1.154807961,0.207738763,0.599716281,NA,0.675771825,0.107176346
31,Chuquicamata Complex,17.90601864,33.16873085,3.460622466,12.43204321,2.011754454,0.504650185,1.353562799,0.170213036,1.01024175,0.189436051,0.508281875,NA,0.570502304,0.079510948
32,Chuquicamata Complex,12.64140563,25.75375148,2.862871036,11.00927183,2.006214319,0.564134441,1.582868139,0.202365628,1.206480852,0.226333949,0.609619181,NA,0.555204767,0.083181239
33,Chuquicamata Complex,20.71827953,36.87851549,3.763446403,13.41465804,2.039608129,0.515666095,1.35538593,0.170045172,1.052950595,0.190771663,0.567187105,NA,0.67852467,0.110981897
34,Chuquicamata Complex,13.35367535,25.15396719,2.737885701,9.813706108,1.588291969,0.4137272,1.051940275,0.138146129,0.728908939,0.133145819,0.355468222,NA,0.432333178,0.065467656
35,Chuquicamata Complex,11.29126259,20.37193182,2.157778634,8.049799625,1.339368728,0.467244281,0.87713932,0.108057509,0.621209594,0.111912164,0.310844059,NA,0.341216347,0.052345119
36,Chuquicamata Complex,12.58662822,23.31192349,2.472114671,8.773044827,1.440136281,0.403589561,0.992227708,0.114810335,0.662787923,0.116145205,0.333782168,NA,0.390422842,0.060653165
37,Chuquicamata Complex,13.98894767,25.64280748,2.715064107,9.783749179,1.488398599,0.404999875,0.989797417,0.120706979,0.683509601,0.130369509,0.363345147,NA,0.408608019,0.051526913
38,Chuquicamata Complex,15.45208064,28.02387087,2.98422192,10.79782599,1.571469301,0.445098093,1.156759186,0.136121516,0.802282606,0.144536881,0.405746352,NA,0.463446324,0.063305085
39,Chuquicamata Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Chuquicamata Complex,21.89212272,43.03793599,4.598175986,17.35411305,2.910218167,0.883753642,2.041437279,NA,1.364784548,0.24327189,0.710097016,NA,0.74177523,0.122817392
41,Chuquicamata Complex,14.24293963,26.10129836,2.633357603,9.562882772,1.469061435,0.456500747,0.993391256,NA,0.672450517,0.115710127,0.374594794,NA,0.424815453,0.062065458
42,Chuquicamata Complex,16.30225958,30.98642511,3.281213833,11.82852895,1.853956867,0.514280622,1.233969063,NA,0.87845662,0.168120808,0.48350513,NA,0.523779388,0.084800142
43,Chuquicamata Complex,10.95034693,21.00659733,2.251041571,8.522763872,1.387547375,0.447463395,0.91090925,NA,0.627109677,0.111578467,0.303297375,NA,0.385485381,0.059865838
44,Chuquicamata Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Chuquicamata Complex,17.6398587,33.21053357,3.419182302,12.10534358,1.833878283,0.496041789,1.329581774,NA,1.029543635,0.178526713,0.516403295,NA,0.691491097,0.100674969
46,Chuquicamata Complex,19.22313833,34.93033705,3.553759049,13.21219007,2.068058827,0.607724473,1.44555847,NA,1.058773246,0.201588376,0.566178143,NA,0.615798095,0.091329436
47,Chuquicamata Complex,19.88710732,37.09258667,3.706621186,13.34881383,2.159009679,0.516178126,1.41989255,NA,0.937457896,0.165552833,0.494232537,NA,0.58155283,0.088388749
48,Chuquicamata Complex,15.61612618,28.99547382,2.968142184,10.39710849,1.627024723,0.463251398,1.085667224,NA,0.707398255,0.120906324,0.382300275,NA,0.496811783,0.080063405
49,Chuquicamata Complex,13.16501053,25.42871806,2.65681041,9.660385262,1.471652975,0.420679458,1.090565255,NA,0.577170347,0.098507444,0.278384047,NA,0.357266415,0.056441142
50,Chuquicamata Complex,13.52485187,25.57396884,2.648010545,9.391772489,1.3746116,0.450220718,0.94531296,NA,0.654582265,0.122400953,0.33531029,NA,0.374051857,0.055287708
51,Chuquicamata Complex,12.32602297,24.71417164,2.636839166,9.242331475,1.366208951,0.403038015,0.8679886,NA,0.589930951,0.109971493,0.336771539,NA,0.375854229,0.070306791
52,Chuquicamata Complex,11.31950044,20.87828708,2.113005699,7.41650763,1.100272842,0.362173059,0.787307297,NA,0.577315029,0.10111362,0.299239206,NA,0.376408639,0.062866529
53,Collahuasi District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Collahuasi District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Collahuasi District,21.97,42.59,4.905,18.38,3.02,0.902,1.868,0.225,1.11,0.185,0.476,0.065,0.44,0.064
56,Collahuasi District,16.58,32.42,3.747,14.06,2.52,0.748,1.851,0.254,1.392,0.262,0.717,0.106,0.73,0.111
57,Collahuasi District,9.05,16.71,1.873,6.92,1.2,0.486,0.856,0.125,0.77,0.159,0.487,0.077,0.57,0.093
58,Collahuasi District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Collahuasi District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Collahuasi District,15.66,30.7,3.506,13.19,2.34,0.703,1.651,0.222,1.201,0.227,0.616,0.093,0.62,0.094
61,Collahuasi District,16.61,32.51,3.572,12.94,2.43,0.736,1.772,0.233,1.127,0.191,0.489,0.07,0.47,0.071
62,Collahuasi District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Collahuasi District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Collahuasi District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Collahuasi District,20.78,55.62,NA,21.53,4.99,2.38,NA,NA,2.65,NA,1.47,NA,1.74,0.4
66,Collahuasi District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Collahuasi District,26.75,57.15,NA,24.23,5.42,1.56,3.77,NA,3.18,NA,1.61,NA,1.74,0.25
68,El Abra-Fortuna Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,El Abra-Fortuna Complex,33.34665088,72.63775234,8.167409302,30.81400668,5.81638995,0.822388786,4.720736816,NA,4.225201231,0.844687653,2.427151043,NA,2.525542442,0.369857556
70,El Abra-Fortuna Complex,39.06486777,86.13845303,9.947007739,38.44476533,7.419583996,1.065869033,6.131409561,NA,5.431738148,1.064084203,2.992781188,NA,3.177182337,0.457991131
71,El Abra-Fortuna Complex,31.61602722,69.02879735,7.829236063,30.4264872,5.68368044,0.935551891,4.836188139,NA,4.328890213,0.843265753,2.464474154,NA,2.560083791,0.357831716
72,El Abra-Fortuna Complex,28.79857646,61.72097645,7.249704949,27.84811505,5.426563418,0.855472993,4.351118301,NA,4.069080231,0.794181119,2.187934954,NA,2.344626016,0.33000314
73,El Abra-Fortuna Complex,29.69055173,64.63682441,7.598064031,29.33971231,5.743465635,1.032344712,4.78167101,NA,4.249756602,0.841339979,2.355095748,NA,2.378419611,0.35579609
74,El Abra-Fortuna Complex,28.82388193,60.3874321,6.940825273,26.74066269,4.972594189,0.999205479,4.022088055,NA,3.589911451,0.703173197,1.933929433,NA,1.964791163,0.273494753
75,El Abra-Fortuna Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,El Abra-Fortuna Complex,25.52514334,53.53582963,6.285587045,24.83024833,4.802204555,1.040959338,4.080143315,0.57033433,3.654963325,0.713510787,2.041710883,NA,2.02221538,0.294559592
77,El Abra-Fortuna Complex,23.84610945,50.64378678,6.024333336,24.10817407,4.782284231,1.092687349,4.234944557,0.607507086,3.95326315,0.749401958,2.14020702,NA,2.167175552,0.312944633
78,El Abra-Fortuna Complex,32.64207255,68.29464613,7.886981559,30.16394768,5.922451018,1.197470235,5.054030944,0.740305202,4.705762955,0.930430471,2.607194388,NA,2.665187372,0.395153246
79,El Abra-Fortuna Complex,23.79768634,51.19735947,6.03536833,23.76790384,4.653857268,1.049165325,3.849199552,0.543721215,3.472746438,0.678218179,1.885780168,NA,1.952778097,0.286735625
80,El Abra-Fortuna Complex,24.25207716,51.2719946,6.043053705,23.84327284,4.763326862,1.055244561,4.195669978,0.594271348,3.695024796,0.73169007,2.000722455,NA,2.138606757,0.316258005
81,El Abra-Fortuna Complex,36.07210249,77.96097678,8.751806264,32.21470826,6.044441374,0.761239659,4.871862995,0.699558192,4.40637348,0.870058382,2.532996801,NA,2.72005149,0.388045341
82,El Abra-Fortuna Complex,27.70791949,59.45360454,6.964889687,27.53885271,5.246282472,1.037892231,4.418715469,0.627686326,3.942336601,0.754776642,2.221994672,NA,2.320303602,0.336963935
83,El Abra-Fortuna Complex,29.5082524,63.79400473,7.425488174,28.32937768,5.366789542,0.875846291,4.494819081,0.658273165,4.193357707,0.810352661,2.356673235,NA,2.444931304,0.374965673
84,El Abra-Fortuna Complex,23.29141608,48.82632966,5.650183329,22.4356049,4.509090478,0.98090511,3.808406129,0.541018601,3.401386217,0.674513355,1.891976553,NA,1.953499387,0.304760095
85,El Abra-Fortuna Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,El Abra-Fortuna Complex,12.25028498,24.29904688,2.56826857,9.673487199,1.780370844,0.400123884,1.452102425,NA,1.283941982,0.261603002,0.756840879,NA,0.903417335,0.144052879
87,El Abra-Fortuna Complex,20.49414649,46.11090636,5.124794499,19.11577976,3.443450126,0.630607492,2.627668971,NA,2.342548225,0.468868962,1.384640241,NA,1.717500696,0.263542383
88,El Abra-Fortuna Complex,28.20020583,57.65586952,6.120029834,21.34274809,3.705769031,0.588477992,2.662910734,NA,2.354034444,0.465113777,1.378484416,NA,1.785925419,0.263718627
89,El Abra-Fortuna Complex,22.98973749,52.37006695,6.017737817,21.81696065,3.806971015,0.719922515,2.884001502,NA,2.738703029,0.551544998,1.685843672,NA,2.106097898,0.30774047
90,El Abra-Fortuna Complex,20.20663206,42.53048877,4.590216078,16.9899745,3.072611474,0.612840503,2.603308103,NA,2.196742295,0.420490782,1.147679563,NA,1.238892628,0.180096812
91,El Abra-Fortuna Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,El Abra-Fortuna Complex,22.04265508,45.099619,5.121925132,19.7862808,3.722530962,0.889633435,2.992812301,NA,2.574741353,0.497408234,1.427551768,NA,1.491640472,0.206250692
93,El Abra-Fortuna Complex,27.83602591,60.76451041,6.835897705,25.7712193,4.853544065,0.780265888,4.034902168,NA,3.680928676,0.673560107,1.939116041,NA,2.015720422,0.282165481
94,El Abra-Fortuna Complex,28.90540945,63.32147075,7.337627098,28.20279886,5.32471942,0.920332046,4.634183054,NA,4.251426893,0.806226101,2.255903624,NA,2.259831913,0.334762592
95,El Abra-Fortuna Complex,23.45565877,50.40548565,5.871210911,23.2094935,4.498867073,0.93764519,3.706943338,NA,3.319205818,0.623680235,1.79541676,NA,1.835498003,0.258255183
96,El Abra-Fortuna Complex,22.70751525,47.21963642,5.571983312,22.65045713,4.369196926,1.148454549,3.594871986,NA,3.143407827,0.606855894,1.736977609,NA,1.736868152,0.26319053
97,El Abra-Fortuna Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,El Abra-Fortuna Complex,25.42044349,53.31587558,6.210372821,24.52467833,4.635846162,0.977917356,3.850769099,NA,3.140779146,0.582795599,1.603835763,NA,1.613316769,0.239195945
99,El Abra-Fortuna Complex,15.3741354,30.63228358,3.518562708,14.55058684,2.805368877,0.879260901,2.143222082,NA,1.851012878,0.335669707,1.027244704,NA,1.010019414,0.155211525
100,El Abra-Fortuna Complex,16.6975483,33.66314071,4.082665379,17.37730396,3.608271881,0.947071318,3.312281455,NA,2.949533371,0.593629807,1.704789656,NA,1.713666908,0.239254699
101,El Abra-Fortuna Complex,26.51084064,50.04630111,5.59474874,21.5632647,4.305578591,1.036402707,3.514216432,NA,3.153452652,0.598634035,1.647932058,NA,1.761165929,0.237429512
102,El Abra-Fortuna Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,El Abra-Fortuna Complex,23.11961222,47.22737078,5.42953724,21.00142173,3.817473235,0.918011232,3.150756036,0.411498363,2.599380269,0.479659842,1.330699392,NA,1.390131331,0.206589336
104,El Abra-Fortuna Complex,30.61040685,64.68242724,7.499523395,28.29359224,5.649289358,0.92614583,4.43552967,0.663070836,4.165912122,0.801512627,2.291716314,NA,2.428512855,0.362470427
105,El Abra-Fortuna Complex,22.51334761,47.42544841,5.52914369,22.09448746,4.394193282,0.949031971,3.64260774,0.517120105,3.243988039,0.635639066,1.783395793,NA,1.791515808,0.267279593
106,El Abra-Fortuna Complex,24.29605304,49.30655139,5.539977709,20.02953838,3.583312194,0.469198226,3.080223915,0.453707879,2.963754687,0.614536326,1.796108729,NA,1.966937671,0.297824827
107,El Abra-Fortuna Complex,30.10869156,63.4950788,7.337126984,28.11876075,5.360469185,0.963167854,4.260089496,0.609999809,3.908489614,0.74369065,2.160956426,NA,2.292220787,0.324182432
108,El Abra-Fortuna Complex,24.45265195,50.85343794,5.806936472,22.7388577,4.205742551,0.948812369,3.290203882,0.461755524,2.730915241,0.511925113,1.42944976,NA,1.547170191,0.218908504
109,El Abra-Fortuna Complex,23.40151102,48.81072116,5.763774034,22.88832072,4.377545257,0.962541106,3.37629468,0.464395552,2.887944384,0.527683096,1.404459437,NA,1.512753095,0.217028709
110,El Abra-Fortuna Complex,24.51145538,49.49618375,5.65611146,21.73345407,3.929283293,0.907107286,2.99916117,0.417786411,2.525093783,0.480086932,1.353337421,NA,1.365275789,0.205862328
111,El Abra-Fortuna Complex,29.07747406,55.93418716,6.143846984,22.77654792,3.867627488,0.879499924,3.087922106,0.400084972,2.445337736,0.469600351,1.279188785,NA,1.372557731,0.216519248
112,El Abra-Fortuna Complex,31.6772467,60.84618152,6.669616378,24.56707765,4.227029892,0.845489419,3.317252057,0.471170789,2.811782237,0.516766109,1.482411104,NA,1.660846346,0.24610014
113,El Abra-Fortuna Complex,24.97722761,51.05782666,5.871607211,22.96672526,4.186984262,0.908147891,3.422659872,0.492920536,2.949206986,0.565376354,1.49956515,NA,1.552987877,0.220781078
114,El Abra-Fortuna Complex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,El Abra-Fortuna Complex,22.98360922,45.68258606,5.076286715,20.00054412,3.87150412,0.98897377,3.564078034,NA,3.159133118,0.606751457,1.679309092,NA,1.730700502,0.251008294
116,El Abra-Fortuna Complex,32.38563267,70.42478638,7.980369924,30.49268668,5.708977093,0.914620077,4.721650723,NA,4.345123702,0.842141472,2.391601259,NA,2.451178695,0.362756503
117,El Abra-Fortuna Complex,27.73157048,56.12008452,6.182698864,23.60735957,4.671528243,1.087311801,3.715151353,NA,2.983714431,0.572775317,1.612580345,NA,1.606265367,0.246945416
118,El Abra-Fortuna Complex,22.88577832,53.15920915,5.878489565,21.66252745,3.912337714,0.647394226,2.940199193,NA,2.680130097,0.536889964,1.650662624,NA,1.864076521,0.282084213
